               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093521,            0.026522,            0.022772,             0.69738,             0.26875,             0.21722,            0.077888,            0.068245,            0.013968,            0.012185,              0.0704,           0.0032889,           0.0032889
                   1,            0.067073,            0.023683,           0.0083875,             0.48445,              0.5429,             0.53827,             0.18296,            0.057501,             0.01059,           0.0032537,            0.040393,           0.0066157,           0.0066157
                   2,            0.063476,            0.020326,           0.0040045,             0.62013,             0.67417,             0.66343,             0.23297,            0.051157,            0.010099,           0.0024912,             0.01038,           0.0099358,           0.0099358
                   3,              0.0573,            0.019427,           0.0034845,             0.58854,             0.73381,             0.67595,             0.29454,            0.046418,           0.0087758,           0.0017206,           0.0099703,           0.0099703,           0.0099703
                   4,            0.051677,            0.018472,           0.0024649,              0.7785,             0.72449,             0.79264,             0.37346,            0.044355,           0.0088483,            0.001753,           0.0099703,           0.0099703,           0.0099703
                   5,            0.047971,            0.018055,            0.002335,             0.73999,              0.7764,             0.79367,             0.34843,            0.042227,            0.010724,           0.0017637,           0.0099604,           0.0099604,           0.0099604
                   6,            0.046035,            0.017586,           0.0020191,             0.76388,             0.76108,             0.81162,             0.39088,            0.041877,           0.0085044,          0.00094721,           0.0099505,           0.0099505,           0.0099505
                   7,            0.044963,            0.018008,           0.0017674,             0.83281,             0.80128,             0.87766,             0.48432,            0.039323,           0.0084539,          0.00079196,           0.0099406,           0.0099406,           0.0099406
                   8,            0.043066,            0.016948,           0.0019561,              0.8476,             0.82802,             0.84902,             0.46828,            0.039142,           0.0086068,           0.0015682,           0.0099307,           0.0099307,           0.0099307
                   9,            0.042783,             0.01713,           0.0017859,             0.80053,             0.85534,             0.87141,             0.46106,            0.038197,           0.0084548,          0.00087206,           0.0099208,           0.0099208,           0.0099208
                  10,            0.042219,            0.017545,           0.0015665,             0.86142,             0.81383,             0.86568,             0.40291,            0.040608,           0.0088085,           0.0009666,           0.0099109,           0.0099109,           0.0099109
