               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092896,            0.025158,            0.023085,             0.65511,             0.22789,             0.21406,            0.081249,            0.069037,            0.013151,             0.01074,            0.070411,           0.0032877,           0.0032877
                   1,            0.066079,            0.022642,           0.0077271,             0.39167,             0.62683,              0.4247,             0.16646,            0.060037,           0.0097804,           0.0032357,            0.040398,           0.0066079,           0.0066079
                   2,            0.062872,            0.019161,           0.0037353,             0.63472,             0.59238,             0.68759,             0.31444,            0.056371,            0.008647,           0.0018015,            0.010372,           0.0099149,           0.0099149
                   3,            0.058908,             0.01873,           0.0036184,             0.63277,             0.73879,             0.74675,             0.34447,            0.047101,           0.0089245,           0.0028282,           0.0099406,           0.0099406,           0.0099406
                   4,            0.051076,            0.017794,           0.0029169,             0.74331,             0.72512,             0.78817,             0.39106,             0.04569,           0.0084825,           0.0015497,           0.0099406,           0.0099406,           0.0099406
                   5,            0.048181,               0.017,           0.0022386,             0.72733,             0.78062,             0.79354,             0.39288,            0.042638,           0.0084555,           0.0015638,           0.0099208,           0.0099208,           0.0099208
                   6,            0.046342,            0.016787,           0.0018606,             0.73497,             0.78439,              0.8172,             0.38914,            0.044307,           0.0085104,          0.00096629,            0.009901,            0.009901,            0.009901
                   7,            0.043719,            0.017459,           0.0019337,             0.76407,             0.84299,             0.86399,             0.42462,             0.03938,           0.0082248,           0.0013131,           0.0098812,           0.0098812,           0.0098812
                   8,              0.0432,            0.016748,           0.0016544,             0.79576,              0.8252,             0.87716,             0.48076,            0.036535,           0.0078372,          0.00081451,           0.0098614,           0.0098614,           0.0098614
                   9,            0.041725,            0.016077,           0.0017231,             0.80613,             0.83753,             0.86525,             0.49055,            0.037074,           0.0077213,           0.0011291,           0.0098416,           0.0098416,           0.0098416
                  10,            0.041473,            0.016553,           0.0016065,             0.76485,             0.83572,              0.8498,             0.43066,            0.037509,           0.0083166,          0.00087118,           0.0098218,           0.0098218,           0.0098218
                  11,            0.039946,            0.016153,           0.0014434,             0.82719,             0.81432,             0.86765,             0.46035,            0.038136,           0.0080067,           0.0012457,            0.009802,            0.009802,            0.009802
                  12,            0.039844,            0.016097,           0.0013155,             0.87285,             0.84202,             0.88861,             0.47213,            0.036638,           0.0078528,          0.00093603,           0.0097822,           0.0097822,           0.0097822
                  13,            0.039176,            0.016209,           0.0013208,             0.80898,             0.87443,             0.91202,             0.49501,            0.036277,           0.0078721,           0.0010817,           0.0097624,           0.0097624,           0.0097624
                  14,            0.038593,            0.016334,           0.0012651,             0.80134,              0.7907,             0.82954,             0.44097,            0.038135,           0.0082873,           0.0011114,           0.0097426,           0.0097426,           0.0097426
                  15,            0.037955,            0.015893,           0.0012209,             0.84125,             0.80664,             0.87747,             0.52538,            0.034334,           0.0076119,          0.00054171,           0.0097228,           0.0097228,           0.0097228
                  16,            0.038457,            0.016091,           0.0012485,              0.8552,             0.83779,             0.89963,             0.54473,            0.033761,           0.0079612,           0.0007115,            0.009703,            0.009703,            0.009703
                  17,            0.037112,            0.015427,           0.0012195,             0.82953,             0.85582,             0.89809,             0.50831,            0.033826,           0.0079821,          0.00090517,           0.0096832,           0.0096832,           0.0096832
                  18,            0.035871,            0.015385,          0.00096696,             0.78448,             0.81395,             0.86456,             0.50539,            0.032949,           0.0080666,          0.00061698,           0.0096634,           0.0096634,           0.0096634
                  19,            0.035757,            0.014703,           0.0010545,             0.82756,             0.86747,             0.91355,             0.51977,            0.033386,           0.0076623,          0.00052483,           0.0096436,           0.0096436,           0.0096436
                  20,            0.036599,            0.015625,          0.00096548,             0.87895,             0.85847,             0.90916,             0.49441,            0.034997,           0.0076517,          0.00056659,           0.0096238,           0.0096238,           0.0096238
                  21,            0.035357,            0.015151,          0.00093587,             0.81819,             0.85576,             0.90554,              0.5255,            0.034343,           0.0077448,          0.00044646,            0.009604,            0.009604,            0.009604
                  22,            0.034277,            0.014932,          0.00077563,             0.82035,             0.81667,             0.86882,             0.51297,            0.035066,           0.0078065,           0.0011983,           0.0095842,           0.0095842,           0.0095842
                  23,            0.035076,            0.015027,          0.00099902,             0.84052,             0.84723,             0.89808,             0.53434,            0.033425,           0.0082116,           0.0013396,           0.0095644,           0.0095644,           0.0095644
                  24,            0.035027,            0.015788,           0.0010519,             0.86261,             0.86083,              0.9173,             0.54065,            0.033637,           0.0079042,          0.00060661,           0.0095446,           0.0095446,           0.0095446
                  25,            0.034971,            0.015325,          0.00093045,             0.83773,             0.85403,             0.89478,             0.53405,            0.032802,           0.0077044,           0.0006976,           0.0095248,           0.0095248,           0.0095248
