               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093804,            0.026062,            0.023192,             0.65088,             0.27586,             0.14353,            0.042966,            0.071091,            0.013505,            0.016254,            0.070469,           0.0032813,           0.0032813
                   1,            0.068016,            0.024197,           0.0092058,             0.52277,             0.54024,             0.43797,             0.15977,            0.067151,            0.010413,           0.0048512,            0.040447,           0.0065928,           0.0065928
                   2,            0.063843,            0.020147,           0.0042634,             0.41149,             0.54163,             0.44016,             0.14118,            0.071568,           0.0087676,           0.0027737,            0.010403,           0.0098823,           0.0098823
                   3,            0.059782,            0.019969,            0.003302,              0.5515,              0.6765,             0.63631,             0.29044,            0.051517,           0.0095348,           0.0017731,            0.009901,            0.009901,            0.009901
                   4,            0.050826,            0.018813,           0.0032949,             0.64565,             0.66303,             0.65573,             0.31827,            0.048885,           0.0089251,             0.00167,            0.009901,            0.009901,            0.009901
                   5,            0.047825,            0.018012,           0.0024614,             0.78512,             0.79227,             0.84134,             0.36017,            0.046269,           0.0082543,            0.001459,            0.009868,            0.009868,            0.009868
                   6,            0.046645,            0.017711,           0.0023689,             0.78061,             0.76709,             0.80887,             0.41113,            0.045347,           0.0083966,           0.0017069,            0.009835,            0.009835,            0.009835
                   7,            0.045382,            0.017461,           0.0021328,             0.82011,             0.81091,             0.84693,             0.41739,            0.042537,           0.0092137,           0.0016999,            0.009802,            0.009802,            0.009802
                   8,            0.043338,            0.017593,           0.0017758,             0.81102,             0.79793,             0.87432,             0.44566,            0.040301,           0.0083218,           0.0010036,            0.009769,            0.009769,            0.009769
                   9,            0.042669,            0.017445,           0.0015405,             0.84197,             0.81199,             0.86348,             0.45915,            0.041617,           0.0078792,           0.0010003,            0.009736,            0.009736,            0.009736
                  10,            0.041484,            0.017039,           0.0016111,             0.80315,              0.7493,              0.8312,             0.44097,            0.041587,           0.0085037,           0.0011903,            0.009703,            0.009703,            0.009703
                  11,            0.040585,            0.016273,           0.0013886,             0.76404,             0.83928,             0.84175,             0.46659,            0.041706,           0.0081238,          0.00089754,             0.00967,             0.00967,             0.00967
                  12,            0.040087,            0.017543,           0.0011923,             0.79299,             0.85424,             0.86418,             0.48172,            0.038512,           0.0079283,          0.00062374,            0.009637,            0.009637,            0.009637
                  13,            0.039797,            0.016938,           0.0013486,             0.88982,             0.82906,             0.89245,             0.50897,            0.036354,            0.007474,          0.00077023,            0.009604,            0.009604,            0.009604
                  14,            0.037963,            0.016359,            0.001148,             0.85861,             0.78679,             0.84781,              0.4633,            0.041731,            0.008354,          0.00079641,            0.009571,            0.009571,            0.009571
                  15,            0.037856,             0.01602,           0.0010953,             0.82415,             0.82909,             0.88165,             0.52152,            0.038618,           0.0076184,          0.00059361,            0.009538,            0.009538,            0.009538
                  16,            0.037704,            0.015956,           0.0010643,             0.82562,             0.78799,             0.85656,             0.48376,            0.038209,           0.0080059,          0.00067913,            0.009505,            0.009505,            0.009505
                  17,            0.037275,            0.015942,           0.0009858,             0.79367,             0.83088,             0.86269,             0.48709,             0.03921,           0.0088896,          0.00074173,            0.009472,            0.009472,            0.009472
                  18,            0.036969,            0.016171,           0.0010809,             0.83404,             0.84879,             0.88723,             0.48977,            0.037761,           0.0076878,          0.00048959,            0.009439,            0.009439,            0.009439
                  19,            0.035797,            0.015881,           0.0012587,             0.83795,             0.85977,             0.88828,              0.5229,            0.035531,           0.0073675,          0.00091923,            0.009406,            0.009406,            0.009406
                  20,            0.036619,            0.015411,           0.0012187,             0.83713,             0.81103,             0.88112,             0.52279,            0.035632,           0.0077841,          0.00063289,            0.009373,            0.009373,            0.009373
                  21,            0.035161,            0.016191,           0.0011523,             0.85708,              0.8791,             0.89945,             0.52858,            0.033939,           0.0076061,          0.00051168,             0.00934,             0.00934,             0.00934
                  22,            0.035108,            0.015526,           0.0010331,              0.8297,             0.77744,             0.86225,             0.52002,            0.035713,           0.0083715,          0.00062794,            0.009307,            0.009307,            0.009307
                  23,            0.034398,            0.016028,           0.0009025,             0.82756,             0.86058,             0.87153,             0.51093,            0.034646,            0.007394,          0.00051438,            0.009274,            0.009274,            0.009274
                  24,            0.034817,            0.015843,          0.00083731,             0.83224,             0.83902,             0.88457,             0.53528,            0.035574,           0.0076715,          0.00050198,            0.009241,            0.009241,            0.009241
                  25,            0.034003,            0.014739,          0.00075864,              0.8317,             0.84679,             0.88682,             0.55314,            0.035989,           0.0070359,           0.0004981,            0.009208,            0.009208,            0.009208
                  26,            0.032899,            0.015197,          0.00086746,             0.83866,             0.80968,             0.87352,             0.54661,              0.0337,           0.0077194,          0.00069308,            0.009175,            0.009175,            0.009175
                  27,            0.034138,            0.014913,          0.00077903,             0.82135,             0.86186,             0.89008,              0.5203,            0.036565,           0.0075193,          0.00061191,            0.009142,            0.009142,            0.009142
                  28,            0.033947,            0.015047,          0.00071593,             0.80078,             0.84951,             0.86518,             0.53657,            0.033072,           0.0076581,          0.00058313,            0.009109,            0.009109,            0.009109
                  29,            0.033115,            0.014929,            0.000819,             0.79773,             0.87464,             0.88666,             0.56924,            0.035186,           0.0072807,          0.00056091,            0.009076,            0.009076,            0.009076
                  30,            0.032725,             0.01526,          0.00079599,             0.84235,             0.87565,             0.88722,             0.55199,            0.035483,           0.0073565,           0.0003395,            0.009043,            0.009043,            0.009043
                  31,            0.032445,            0.014756,          0.00079896,             0.82749,             0.89447,             0.91538,             0.57176,            0.034409,           0.0072539,          0.00039975,             0.00901,             0.00901,             0.00901
                  32,            0.032326,             0.01403,          0.00074291,             0.84332,             0.82482,               0.882,             0.54942,            0.035304,             0.00725,          0.00036109,            0.008977,            0.008977,            0.008977
                  33,            0.031546,            0.014774,          0.00064954,             0.87485,             0.78607,             0.89462,             0.55004,             0.03474,           0.0070944,          0.00057636,            0.008944,            0.008944,            0.008944
                  34,            0.031446,            0.014502,          0.00081268,             0.88545,             0.81091,             0.90507,             0.57923,            0.034373,            0.006913,          0.00031018,            0.008911,            0.008911,            0.008911
                  35,            0.032398,            0.015148,           0.0008655,             0.83414,             0.86074,             0.89533,             0.55565,            0.035569,           0.0072244,          0.00035301,            0.008878,            0.008878,            0.008878
                  36,            0.031597,            0.014283,          0.00061355,              0.8464,             0.83719,             0.89241,             0.55132,            0.034298,           0.0073498,          0.00037351,            0.008845,            0.008845,            0.008845
                  37,             0.03124,            0.015037,          0.00087769,             0.78668,              0.8991,             0.89774,             0.56041,            0.032996,           0.0073996,          0.00047858,            0.008812,            0.008812,            0.008812
                  38,            0.030421,            0.014571,          0.00061459,              0.8395,             0.86486,             0.88909,             0.54646,            0.034687,           0.0073189,          0.00029656,            0.008779,            0.008779,            0.008779
                  39,            0.030819,            0.013979,          0.00068271,             0.86965,             0.86386,             0.91121,             0.57908,            0.034312,           0.0070331,          0.00042339,            0.008746,            0.008746,            0.008746
                  40,            0.031611,            0.014514,          0.00069689,             0.78921,             0.88462,             0.89363,             0.57037,            0.033899,           0.0071348,          0.00030582,            0.008713,            0.008713,            0.008713
                  41,            0.031331,            0.014219,          0.00062369,             0.84138,             0.80285,             0.85746,             0.50388,            0.035227,           0.0086493,          0.00044127,             0.00868,             0.00868,             0.00868
                  42,            0.031519,            0.014429,          0.00052498,             0.84406,             0.87835,             0.90209,             0.56099,            0.033835,           0.0068315,          0.00025123,            0.008647,            0.008647,            0.008647
                  43,            0.031051,            0.014184,          0.00060325,             0.86481,             0.87306,             0.90336,             0.55784,            0.032999,           0.0072368,          0.00031992,            0.008614,            0.008614,            0.008614
                  44,            0.030328,             0.01417,          0.00053129,             0.86485,             0.84534,             0.90454,             0.58789,            0.031929,           0.0070479,          0.00026879,            0.008581,            0.008581,            0.008581
                  45,            0.031585,             0.01444,          0.00070609,             0.84016,             0.83915,             0.86467,             0.57542,            0.033134,           0.0075211,          0.00031507,            0.008548,            0.008548,            0.008548
                  46,            0.030267,            0.013865,          0.00052943,             0.84553,             0.90022,             0.90405,             0.57765,            0.034354,            0.007112,          0.00028323,            0.008515,            0.008515,            0.008515
                  47,            0.030422,             0.01398,          0.00053635,             0.80618,             0.91943,             0.89879,             0.56856,            0.033688,           0.0072362,          0.00029257,            0.008482,            0.008482,            0.008482
