               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097266,            0.023155,            0.025205,             0.62436,             0.23116,             0.11231,            0.035498,            0.067741,            0.012902,            0.015013,            0.070526,           0.0032749,           0.0032749
                   1,            0.071327,            0.023267,            0.011486,             0.56638,              0.5565,             0.48968,             0.17022,            0.063428,           0.0096458,           0.0039044,            0.040494,           0.0065755,           0.0065755
                   2,            0.067279,            0.019689,           0.0057604,             0.36691,             0.44344,             0.40551,             0.17233,            0.062561,           0.0086932,           0.0037185,            0.010428,           0.0098431,           0.0098431
                   3,            0.062248,             0.01935,           0.0050965,             0.49332,              0.6208,             0.58698,             0.26723,            0.052433,            0.008233,           0.0022116,           0.0098515,           0.0098515,           0.0098515
                   4,            0.055954,            0.018727,           0.0036039,             0.69902,             0.68908,              0.7129,             0.24771,            0.052879,           0.0086559,           0.0012401,           0.0098515,           0.0098515,           0.0098515
                   5,            0.051413,            0.017155,           0.0028218,             0.55295,             0.68714,             0.64955,             0.29802,            0.046598,           0.0080194,            0.001588,            0.009802,            0.009802,            0.009802
                   6,            0.049696,            0.017595,           0.0023383,             0.81308,             0.74484,             0.83272,              0.3963,            0.043381,           0.0077871,           0.0018843,           0.0097525,           0.0097525,           0.0097525
                   7,            0.047679,            0.017228,            0.002436,             0.89879,             0.76962,             0.88294,             0.47941,            0.038934,           0.0075847,          0.00085977,            0.009703,            0.009703,            0.009703
                   8,            0.045356,            0.016817,           0.0022177,             0.86411,             0.72722,             0.81697,             0.39343,            0.042675,           0.0079838,           0.0010774,           0.0096535,           0.0096535,           0.0096535
                   9,            0.046571,            0.017818,           0.0017158,             0.80853,             0.78501,             0.83253,             0.41251,            0.039786,           0.0083775,           0.0010359,            0.009604,            0.009604,            0.009604
                  10,             0.04474,            0.017254,           0.0022205,              0.8568,             0.71202,             0.81673,             0.42882,            0.040437,           0.0079762,          0.00093075,           0.0095545,           0.0095545,           0.0095545
                  11,            0.043984,            0.017188,           0.0022618,             0.84313,              0.7561,             0.81323,             0.38064,            0.042138,           0.0081241,           0.0015945,            0.009505,            0.009505,            0.009505
                  12,            0.043423,            0.016899,           0.0020985,             0.85583,             0.77013,             0.85523,             0.46192,            0.038091,           0.0079571,          0.00093374,           0.0094555,           0.0094555,           0.0094555
                  13,            0.043479,            0.017286,           0.0015961,             0.86734,             0.79061,             0.86692,             0.41799,            0.039822,           0.0074222,           0.0011986,            0.009406,            0.009406,            0.009406
                  14,            0.042311,            0.016801,            0.001565,             0.89328,             0.82167,              0.8771,             0.50508,            0.037132,           0.0074055,           0.0022879,           0.0093565,           0.0093565,           0.0093565
                  15,            0.040857,              0.0171,           0.0014965,             0.90039,             0.86242,             0.90803,             0.51197,            0.035449,           0.0071181,          0.00069073,            0.009307,            0.009307,            0.009307
                  16,            0.040754,            0.015421,           0.0010133,             0.86439,             0.77426,              0.8747,             0.47775,            0.039549,           0.0074308,          0.00060743,           0.0092575,           0.0092575,           0.0092575
                  17,             0.04066,            0.015142,           0.0011319,             0.89042,              0.7825,             0.87558,             0.42191,            0.038882,           0.0074666,          0.00077764,            0.009208,            0.009208,            0.009208
                  18,            0.038989,            0.015119,           0.0012869,             0.87122,             0.85905,             0.91799,             0.52194,            0.034828,           0.0070273,          0.00050311,           0.0091585,           0.0091585,           0.0091585
                  19,             0.03913,            0.014988,           0.0010541,             0.86194,             0.83323,             0.88575,             0.49352,            0.036809,           0.0070421,          0.00048804,            0.009109,            0.009109,            0.009109
                  20,            0.039285,             0.01557,           0.0011026,             0.88849,             0.77393,             0.89376,             0.51235,            0.035401,           0.0074442,          0.00068899,           0.0090595,           0.0090595,           0.0090595
                  21,            0.038151,            0.015104,           0.0010227,             0.87117,             0.82401,             0.87227,             0.49451,            0.036382,           0.0071708,           0.0005218,             0.00901,             0.00901,             0.00901
                  22,            0.037578,            0.014749,           0.0015738,             0.87497,             0.86217,              0.9157,              0.5298,            0.034653,            0.007181,          0.00053604,           0.0089605,           0.0089605,           0.0089605
                  23,            0.037574,             0.01521,           0.0011376,              0.8953,             0.85533,             0.90755,             0.54246,            0.033985,           0.0070328,          0.00071832,            0.008911,            0.008911,            0.008911
                  24,            0.037072,            0.015083,           0.0010101,             0.87622,              0.8401,             0.92053,             0.53009,            0.035439,           0.0069263,          0.00064407,           0.0088615,           0.0088615,           0.0088615
                  25,            0.036387,            0.014679,           0.0010337,             0.92521,             0.79804,             0.89773,             0.52637,            0.036519,           0.0073851,          0.00058392,            0.008812,            0.008812,            0.008812
                  26,            0.036442,            0.014401,          0.00086944,             0.91649,              0.8236,             0.90099,             0.51557,            0.035007,           0.0073942,          0.00055775,           0.0087625,           0.0087625,           0.0087625
                  27,             0.03623,            0.014629,            0.000948,             0.92151,             0.87694,             0.91804,             0.51742,             0.03626,           0.0073125,          0.00049831,            0.008713,            0.008713,            0.008713
                  28,            0.035566,            0.014876,          0.00084694,             0.88331,             0.86878,             0.91321,             0.54212,            0.034035,           0.0071437,          0.00044574,           0.0086635,           0.0086635,           0.0086635
                  29,             0.03533,            0.013776,          0.00090258,             0.90246,             0.81919,             0.90166,             0.53433,            0.034348,           0.0073337,          0.00049042,            0.008614,            0.008614,            0.008614
                  30,            0.034308,            0.013808,          0.00070239,             0.91229,             0.85752,             0.91256,             0.54918,             0.03429,           0.0069746,          0.00041357,           0.0085645,           0.0085645,           0.0085645
                  31,            0.034748,            0.014103,          0.00079807,             0.90681,             0.84679,             0.90977,             0.55248,            0.032865,           0.0070542,          0.00049394,            0.008515,            0.008515,            0.008515
                  32,             0.03516,            0.014038,          0.00077514,             0.91168,             0.81564,              0.9071,             0.54097,            0.033636,           0.0071253,          0.00034449,           0.0084655,           0.0084655,           0.0084655
                  33,            0.035136,            0.014275,          0.00060045,             0.91563,             0.87743,             0.92296,              0.5747,            0.033044,           0.0069013,          0.00040921,            0.008416,            0.008416,            0.008416
                  34,            0.034698,            0.014247,          0.00076266,             0.94901,             0.78893,             0.90183,             0.55213,            0.032689,           0.0071717,          0.00030042,           0.0083665,           0.0083665,           0.0083665
                  35,            0.033904,            0.014014,          0.00081228,             0.92264,             0.81564,             0.91373,              0.5744,            0.032128,           0.0071411,           0.0006198,            0.008317,            0.008317,            0.008317
                  36,             0.03369,            0.013969,          0.00090639,             0.92338,             0.82067,             0.91411,             0.54954,            0.033761,           0.0071592,          0.00056286,           0.0082675,           0.0082675,           0.0082675
                  37,            0.033985,            0.014255,          0.00088646,             0.86067,             0.85782,             0.90387,             0.57269,            0.034059,           0.0068634,          0.00057369,            0.008218,            0.008218,            0.008218
                  38,             0.03338,            0.013587,          0.00089559,             0.88352,             0.84718,             0.91256,             0.56079,            0.034173,           0.0069817,          0.00036743,           0.0081685,           0.0081685,           0.0081685
                  39,             0.03351,            0.013964,          0.00060722,             0.89326,             0.81124,             0.89538,             0.54644,            0.035475,            0.007187,          0.00034778,            0.008119,            0.008119,            0.008119
                  40,            0.032391,            0.013721,          0.00063869,             0.90248,             0.86435,             0.93181,             0.57348,            0.032102,           0.0068396,          0.00047146,           0.0080695,           0.0080695,           0.0080695
                  41,            0.033584,            0.013616,          0.00079185,              0.9484,             0.83423,             0.92144,             0.56199,            0.033329,           0.0068862,          0.00038093,             0.00802,             0.00802,             0.00802
                  42,            0.032501,            0.013456,          0.00073973,             0.90217,             0.84428,             0.91729,             0.57373,            0.032992,           0.0070778,          0.00040824,           0.0079705,           0.0079705,           0.0079705
                  43,            0.032566,            0.013215,          0.00069328,             0.88595,             0.83526,             0.89233,             0.56489,            0.034424,           0.0071085,          0.00031167,            0.007921,            0.007921,            0.007921
                  44,            0.033029,            0.013546,          0.00057021,             0.88562,             0.88696,             0.92878,             0.57729,            0.033002,           0.0068507,          0.00038094,           0.0078715,           0.0078715,           0.0078715
                  45,            0.032057,            0.013039,          0.00077342,             0.88854,             0.84026,             0.90646,             0.55324,            0.033306,           0.0071517,          0.00042996,            0.007822,            0.007822,            0.007822
                  46,            0.031483,            0.013054,          0.00059767,             0.88858,             0.80794,             0.90761,             0.54847,            0.033233,           0.0070726,           0.0004643,           0.0077725,           0.0077725,           0.0077725
                  47,            0.031143,            0.013044,          0.00055352,             0.87904,             0.87688,             0.92143,             0.55471,            0.032407,           0.0069917,          0.00048425,            0.007723,            0.007723,            0.007723
                  48,            0.031743,            0.013034,           0.0005981,             0.91178,             0.81299,             0.90557,             0.57075,            0.032121,           0.0073104,          0.00036948,           0.0076735,           0.0076735,           0.0076735
                  49,            0.032349,            0.012877,          0.00075879,             0.91724,             0.87392,             0.93452,             0.55089,             0.03329,           0.0071092,          0.00030126,            0.007624,            0.007624,            0.007624
                  50,            0.031078,            0.012418,          0.00072367,             0.92417,             0.84347,             0.92992,             0.57643,            0.032567,           0.0068794,          0.00028936,           0.0075745,           0.0075745,           0.0075745
                  51,            0.031635,            0.013633,          0.00058637,             0.90962,             0.81555,              0.9091,             0.56629,            0.033172,           0.0071839,          0.00028129,            0.007525,            0.007525,            0.007525
                  52,            0.031608,            0.013572,           0.0005225,             0.89412,             0.84047,              0.9205,              0.5706,            0.033873,           0.0073742,          0.00031286,           0.0074755,           0.0074755,           0.0074755
                  53,            0.031178,            0.012963,          0.00060535,             0.89309,             0.84228,             0.91913,             0.59469,            0.031637,           0.0070126,          0.00039382,            0.007426,            0.007426,            0.007426
                  54,            0.030747,            0.013236,          0.00052696,              0.9194,             0.82525,              0.9127,             0.56629,            0.034114,           0.0069948,          0.00033258,           0.0073765,           0.0073765,           0.0073765
                  55,            0.030293,            0.012667,           0.0004556,             0.92073,             0.86269,             0.92601,             0.56515,            0.032759,           0.0070364,           0.0002576,            0.007327,            0.007327,            0.007327
                  56,            0.030301,            0.012608,          0.00041636,             0.91347,             0.83523,             0.92156,             0.59677,            0.030665,           0.0070133,          0.00022951,           0.0072775,           0.0072775,           0.0072775
                  57,            0.030265,            0.012934,          0.00065195,             0.95145,             0.84277,             0.92308,             0.59549,            0.032685,           0.0069464,          0.00035193,            0.007228,            0.007228,            0.007228
                  58,            0.029624,             0.01238,          0.00047687,             0.92876,             0.85912,              0.9295,              0.5876,             0.03168,           0.0070792,          0.00027404,           0.0071785,           0.0071785,           0.0071785
                  59,            0.029357,            0.012516,           0.0003938,             0.91591,             0.88146,             0.92513,             0.59024,            0.032242,           0.0069593,          0.00026486,            0.007129,            0.007129,            0.007129
                  60,            0.028729,            0.012035,          0.00042403,             0.90579,             0.86841,             0.91124,             0.58625,            0.031312,           0.0070596,          0.00030488,           0.0070795,           0.0070795,           0.0070795
                  61,            0.030015,            0.012416,            0.000531,             0.91051,             0.82393,             0.91645,             0.58316,            0.030667,           0.0073265,          0.00026752,             0.00703,             0.00703,             0.00703
                  62,            0.029814,            0.012759,          0.00054622,              0.9063,             0.86036,             0.91802,             0.58571,            0.031642,           0.0070779,          0.00022097,           0.0069805,           0.0069805,           0.0069805
                  63,            0.029548,            0.012145,          0.00048097,             0.90818,             0.83935,             0.91638,             0.56974,            0.030772,           0.0071679,          0.00020132,            0.006931,            0.006931,            0.006931
                  64,            0.029733,            0.013083,          0.00046607,             0.90726,             0.88598,              0.9295,             0.58978,            0.030777,           0.0073715,          0.00032419,           0.0068815,           0.0068815,           0.0068815
                  65,            0.029619,            0.012117,          0.00029791,             0.88044,             0.89402,             0.93168,             0.59655,            0.030905,           0.0072349,          0.00027775,            0.006832,            0.006832,            0.006832
                  66,            0.028396,            0.011593,          0.00044947,             0.91259,             0.88146,             0.92993,             0.60875,            0.031303,           0.0069877,           0.0003247,           0.0067825,           0.0067825,           0.0067825
                  67,             0.02875,             0.01168,          0.00036168,             0.89437,             0.84328,             0.90551,             0.57515,            0.032689,           0.0073221,          0.00044548,            0.006733,            0.006733,            0.006733
