               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092742,             0.02545,            0.022748,              0.7235,             0.23684,             0.24084,             0.09748,            0.069675,            0.013258,            0.010409,            0.070395,           0.0032895,           0.0032895
                   1,            0.066701,            0.022197,           0.0078319,             0.46641,             0.56857,             0.49812,             0.18606,            0.060929,            0.010015,           0.0025557,            0.040382,           0.0066097,           0.0066097
                   2,            0.063467,            0.019957,           0.0041121,             0.64985,             0.67121,             0.71909,             0.29084,            0.050209,           0.0091234,           0.0023599,            0.010355,           0.0099167,           0.0099167
                   3,            0.057079,            0.018643,           0.0031307,             0.70823,             0.76093,             0.78819,             0.36303,            0.043233,            0.009419,            0.001491,           0.0099406,           0.0099406,           0.0099406
                   4,            0.051377,            0.018061,           0.0029114,              0.8026,              0.8075,             0.82272,             0.40231,            0.043218,            0.008304,           0.0017965,           0.0099406,           0.0099406,           0.0099406
                   5,            0.047178,            0.016832,           0.0023622,             0.76963,             0.84079,             0.85406,             0.43345,            0.039819,           0.0084448,           0.0011136,           0.0099208,           0.0099208,           0.0099208
                   6,            0.044846,            0.016964,            0.002045,             0.72395,             0.74477,              0.7664,             0.36972,            0.045885,           0.0094454,           0.0011048,            0.009901,            0.009901,            0.009901
                   7,            0.044875,            0.017121,           0.0017217,             0.83113,             0.80124,             0.84183,             0.45815,            0.039004,           0.0082322,           0.0014267,           0.0098812,           0.0098812,           0.0098812
                   8,            0.042492,            0.016325,           0.0017234,             0.78154,             0.85036,             0.86162,             0.44732,            0.038849,           0.0083873,           0.0011009,           0.0098614,           0.0098614,           0.0098614
                   9,             0.04128,            0.016253,           0.0016252,             0.84847,               0.799,             0.87291,             0.40315,            0.038457,           0.0083167,          0.00084848,           0.0098416,           0.0098416,           0.0098416
                  10,            0.040771,            0.016894,           0.0019071,              0.8352,             0.81777,             0.86326,             0.45648,            0.036971,           0.0083842,           0.0010404,           0.0098218,           0.0098218,           0.0098218
                  11,            0.040479,             0.01704,           0.0013321,             0.88357,             0.82881,             0.87928,             0.47972,            0.038355,           0.0081481,          0.00082657,            0.009802,            0.009802,            0.009802
                  12,            0.039237,            0.016284,           0.0013698,             0.77596,              0.8146,             0.85161,             0.45088,             0.03923,           0.0084997,          0.00076854,           0.0097822,           0.0097822,           0.0097822
                  13,            0.039228,            0.015694,           0.0014673,              0.8403,             0.83487,             0.88678,             0.51592,             0.03626,           0.0081649,          0.00077856,           0.0097624,           0.0097624,           0.0097624
                  14,            0.038064,            0.015493,           0.0012137,             0.81426,             0.84415,             0.87352,             0.48876,            0.037128,           0.0082632,          0.00073218,           0.0097426,           0.0097426,           0.0097426
                  15,             0.03845,            0.015891,          0.00090765,             0.87132,              0.7723,             0.86979,             0.49153,            0.034672,           0.0080145,          0.00064135,           0.0097228,           0.0097228,           0.0097228
                  16,            0.037269,             0.01505,           0.0015872,             0.84147,             0.84588,             0.88643,             0.52084,            0.032682,           0.0076965,          0.00058454,            0.009703,            0.009703,            0.009703
                  17,            0.036954,            0.015602,           0.0010011,             0.86958,             0.79465,              0.8813,             0.49779,            0.036119,           0.0079365,          0.00083021,           0.0096832,           0.0096832,           0.0096832
                  18,            0.036254,            0.015252,          0.00095382,             0.83387,             0.89889,              0.9101,             0.49711,            0.036709,           0.0077252,          0.00049758,           0.0096634,           0.0096634,           0.0096634
                  19,            0.036715,            0.015181,          0.00089887,             0.79298,             0.84757,             0.86586,             0.50502,            0.035531,           0.0080002,          0.00047073,           0.0096436,           0.0096436,           0.0096436
                  20,            0.036309,            0.014903,          0.00077718,              0.8534,             0.80709,             0.87382,             0.51003,            0.035307,            0.008095,          0.00050098,           0.0096238,           0.0096238,           0.0096238
                  21,            0.035046,            0.015391,          0.00095525,             0.84419,             0.85108,             0.90664,             0.52951,            0.032374,           0.0079808,           0.0013728,            0.009604,            0.009604,            0.009604
                  22,            0.034943,            0.014805,          0.00091529,             0.84833,             0.84249,              0.8807,             0.52195,            0.033704,           0.0077471,          0.00045393,           0.0095842,           0.0095842,           0.0095842
                  23,            0.034082,            0.014924,          0.00086742,             0.87901,             0.82404,             0.90189,             0.54429,            0.033153,           0.0076773,          0.00041391,           0.0095644,           0.0095644,           0.0095644
                  24,            0.033951,            0.014931,          0.00077078,             0.83034,             0.89906,             0.90295,             0.54723,            0.031117,           0.0077714,           0.0015117,           0.0095446,           0.0095446,           0.0095446
                  25,             0.03482,            0.015102,           0.0010231,             0.82294,             0.86262,             0.90858,             0.53943,            0.031934,           0.0075678,          0.00079019,           0.0095248,           0.0095248,           0.0095248
                  26,             0.03366,            0.014429,            0.001004,             0.84452,              0.8697,             0.88591,             0.53442,            0.033272,           0.0075928,          0.00035841,            0.009505,            0.009505,            0.009505
                  27,            0.033854,            0.014976,           0.0006842,             0.86386,             0.85392,             0.90378,             0.51618,            0.034504,           0.0077713,           0.0011548,           0.0094852,           0.0094852,           0.0094852
                  28,            0.033715,            0.014851,          0.00057402,              0.8179,             0.88615,             0.90524,             0.53672,            0.032864,           0.0077709,          0.00048435,           0.0094654,           0.0094654,           0.0094654
                  29,            0.033387,            0.014046,          0.00088913,             0.84758,             0.89178,             0.90978,             0.53156,            0.032491,           0.0076623,          0.00047077,           0.0094456,           0.0094456,           0.0094456
                  30,            0.032806,            0.014557,          0.00082407,             0.81907,             0.85604,              0.8823,             0.52483,            0.033057,           0.0080025,           0.0018916,           0.0094258,           0.0094258,           0.0094258
