               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.029349,            0.016583,           0.0010409,             0.85799,             0.80309,             0.87909,             0.50539,            0.026622,           0.0084292,          0.00066174,           0.0096634,           0.0096634,           0.0096634
                  36,            0.029264,            0.016143,          0.00095363,             0.83028,             0.86846,             0.89668,             0.51051,            0.026385,           0.0083347,          0.00057286,           0.0096535,           0.0096535,           0.0096535
                  37,            0.029874,            0.016654,              0.0011,             0.89694,             0.82545,             0.88831,             0.49089,            0.027518,           0.0083794,          0.00069299,           0.0096436,           0.0096436,           0.0096436
                  38,            0.029382,            0.016377,           0.0010356,              0.8651,             0.83111,             0.89055,             0.50113,            0.027542,           0.0083693,           0.0003193,           0.0096337,           0.0096337,           0.0096337
                  39,            0.029622,            0.016121,          0.00095511,             0.86219,             0.87345,             0.89136,             0.49341,             0.02647,           0.0083816,          0.00040844,           0.0096238,           0.0096238,           0.0096238
                  40,            0.028841,            0.016082,          0.00075604,              0.8548,             0.83623,             0.88772,             0.49954,            0.026391,           0.0085847,          0.00048556,           0.0096139,           0.0096139,           0.0096139
                  41,            0.028614,            0.015681,          0.00080823,             0.85827,              0.8099,              0.8756,             0.50676,            0.027014,           0.0084584,           0.0010606,            0.009604,            0.009604,            0.009604
                  42,            0.028899,            0.015664,          0.00075304,             0.78181,             0.84646,             0.85288,             0.49998,            0.027816,           0.0086283,           0.0013677,           0.0095941,           0.0095941,           0.0095941
                  43,            0.028514,             0.01577,           0.0006815,             0.81948,             0.83051,             0.87451,             0.51005,            0.026066,           0.0083194,          0.00097252,           0.0095842,           0.0095842,           0.0095842
                  44,            0.028649,            0.015511,          0.00095381,              0.8714,              0.7827,             0.87832,             0.50799,             0.02614,           0.0082969,           0.0016707,           0.0095743,           0.0095743,           0.0095743
                  45,            0.028371,            0.015701,           0.0010684,              0.8009,             0.79372,             0.84681,             0.49568,            0.026706,           0.0084109,          0.00080357,           0.0095644,           0.0095644,           0.0095644
                  46,            0.028646,            0.015166,          0.00055757,             0.85345,             0.81393,             0.86265,              0.5101,            0.026631,           0.0083653,          0.00066654,           0.0095545,           0.0095545,           0.0095545
                  47,            0.027987,            0.015849,          0.00067423,             0.78285,              0.8033,             0.84473,             0.49143,            0.027798,           0.0088606,          0.00094672,           0.0095446,           0.0095446,           0.0095446
                  48,            0.028349,            0.015544,          0.00075999,             0.83717,             0.83409,             0.88825,             0.53917,            0.026371,           0.0080744,           0.0011424,           0.0095347,           0.0095347,           0.0095347
                  49,            0.028211,             0.01546,          0.00067735,             0.84422,             0.83023,             0.90672,             0.54591,            0.025596,           0.0080763,          0.00053311,           0.0095248,           0.0095248,           0.0095248
                  50,             0.02774,             0.01586,          0.00079937,             0.87594,             0.83268,              0.9058,             0.53894,            0.025641,           0.0080876,           0.0007764,           0.0095149,           0.0095149,           0.0095149
                  51,            0.028254,            0.015869,          0.00070915,             0.87459,             0.86255,             0.91105,             0.53727,            0.025701,           0.0082068,          0.00034326,            0.009505,            0.009505,            0.009505
                  52,            0.027521,            0.015017,          0.00065222,             0.82209,             0.84671,              0.8911,             0.53715,            0.025571,           0.0080143,          0.00089877,           0.0094951,           0.0094951,           0.0094951
                  53,            0.027654,            0.015149,          0.00094862,             0.84474,             0.82935,             0.87296,              0.5366,            0.025606,           0.0082983,            0.001598,           0.0094852,           0.0094852,           0.0094852
                  54,            0.027645,            0.015719,          0.00059302,             0.82343,             0.83482,             0.88499,             0.53628,            0.026976,           0.0079934,           0.0016921,           0.0094753,           0.0094753,           0.0094753
                  55,            0.027933,            0.015594,          0.00085905,             0.82235,             0.84665,             0.87766,             0.52097,            0.026565,           0.0081795,           0.0012339,           0.0094654,           0.0094654,           0.0094654
                  56,             0.02756,            0.015236,          0.00061915,             0.85926,             0.85408,             0.87206,             0.51421,            0.025525,           0.0082513,          0.00099029,           0.0094555,           0.0094555,           0.0094555
                  57,            0.027763,            0.015114,          0.00070266,             0.85881,             0.82908,             0.87199,             0.51468,            0.026932,           0.0083748,           0.0010608,           0.0094456,           0.0094456,           0.0094456
                  58,            0.027454,            0.015398,          0.00068041,             0.84638,             0.81684,               0.868,             0.50902,            0.026441,           0.0082792,           0.0011594,           0.0094357,           0.0094357,           0.0094357
                  59,            0.027312,            0.015244,          0.00061442,             0.82621,              0.8545,             0.86701,             0.49487,            0.026262,           0.0086001,           0.0015876,           0.0094258,           0.0094258,           0.0094258
                  60,            0.027273,            0.015215,          0.00079803,             0.88816,             0.78268,             0.87137,             0.52297,            0.026592,           0.0084632,          0.00098538,           0.0094159,           0.0094159,           0.0094159
                  61,            0.027344,            0.015598,           0.0010213,              0.8694,             0.82448,              0.8623,             0.51688,            0.026541,           0.0086261,           0.0010204,            0.009406,            0.009406,            0.009406
                  62,            0.026315,              0.0152,           0.0005694,             0.85232,             0.82086,              0.8632,             0.50747,            0.026081,           0.0084609,           0.0011803,           0.0093961,           0.0093961,           0.0093961
                  63,            0.027477,             0.01544,           0.0006679,             0.84783,             0.84873,             0.85846,             0.50911,            0.026355,           0.0083524,            0.001072,           0.0093862,           0.0093862,           0.0093862
                  64,            0.026888,            0.015042,           0.0007293,             0.89024,             0.80233,             0.89722,             0.52404,            0.026878,           0.0083054,           0.0011366,           0.0093763,           0.0093763,           0.0093763
                  65,            0.026225,            0.015374,          0.00068245,             0.88027,             0.82685,             0.90093,             0.53514,            0.024683,           0.0081009,          0.00088736,           0.0093664,           0.0093664,           0.0093664
                  66,            0.026882,            0.014716,          0.00053094,             0.88966,             0.81778,                0.89,             0.52999,            0.025434,           0.0085687,           0.0013558,           0.0093565,           0.0093565,           0.0093565
                  67,            0.026612,            0.014981,          0.00060866,             0.86945,              0.7761,             0.84921,             0.49905,            0.026724,           0.0087111,           0.0013342,           0.0093466,           0.0093466,           0.0093466
                  68,            0.026465,            0.015109,          0.00057527,             0.88327,             0.84655,             0.88262,              0.5218,            0.026046,           0.0081271,           0.0012275,           0.0093367,           0.0093367,           0.0093367
                  69,            0.026515,            0.014924,          0.00047257,             0.88767,             0.79164,              0.8636,             0.49598,            0.026278,           0.0084403,           0.0012822,           0.0093268,           0.0093268,           0.0093268
                  70,            0.027206,            0.015015,          0.00062616,             0.87799,             0.86545,             0.89009,             0.52342,             0.02495,           0.0082831,           0.0012254,           0.0093169,           0.0093169,           0.0093169
                  71,            0.026231,            0.014377,          0.00081583,             0.85035,             0.84235,             0.88152,             0.51085,            0.026471,           0.0083318,          0.00096324,            0.009307,            0.009307,            0.009307
                  72,            0.026556,            0.015096,          0.00056966,             0.86616,             0.81658,             0.88556,             0.53175,            0.025885,           0.0081036,           0.0013028,           0.0092971,           0.0092971,           0.0092971
                  73,            0.026064,             0.01479,          0.00053933,             0.85136,              0.8215,             0.86985,             0.50391,            0.026532,           0.0086041,           0.0010574,           0.0092872,           0.0092872,           0.0092872
                  74,            0.026438,            0.014537,          0.00076393,             0.83624,             0.82031,              0.8684,             0.50178,            0.026777,           0.0083458,           0.0017638,           0.0092773,           0.0092773,           0.0092773
                  75,            0.026365,            0.014489,          0.00048548,             0.84572,             0.85095,             0.87829,             0.51122,            0.025579,           0.0083552,           0.0013558,           0.0092674,           0.0092674,           0.0092674
                  76,             0.02518,            0.013941,          0.00056501,             0.86125,             0.87498,             0.90596,             0.53518,            0.024743,           0.0080389,           0.0012573,           0.0092575,           0.0092575,           0.0092575
                  77,            0.025931,            0.014567,          0.00051656,             0.87747,             0.78383,             0.88267,             0.53146,            0.025878,            0.008276,           0.0013858,           0.0092476,           0.0092476,           0.0092476
                  78,            0.025713,             0.01426,          0.00053025,             0.87897,             0.80374,             0.87658,             0.52837,              0.0263,           0.0081769,          0.00055099,           0.0092377,           0.0092377,           0.0092377
                  79,            0.024959,            0.014689,          0.00061874,             0.87554,             0.84147,             0.88502,             0.53138,            0.025963,           0.0081501,           0.0012256,           0.0092278,           0.0092278,           0.0092278
                  80,            0.026275,            0.014631,          0.00067323,             0.87363,             0.85275,             0.89129,             0.53817,             0.02559,            0.008295,           0.0009678,           0.0092179,           0.0092179,           0.0092179
                  81,            0.024813,            0.014681,          0.00045221,              0.8612,               0.859,             0.89287,             0.53297,            0.025442,           0.0079805,            0.001087,            0.009208,            0.009208,            0.009208
