               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09662,             0.02552,            0.030939,              0.8541,             0.29932,              0.3746,             0.16765,            0.066612,            0.013555,            0.010714,            0.070492,           0.0032787,           0.0032787
                   1,            0.072261,            0.025656,           0.0094252,             0.24481,             0.52386,             0.30744,             0.13881,            0.064228,            0.010913,           0.0038985,            0.040448,           0.0065684,           0.0065684
                   2,            0.067035,            0.021761,           0.0052778,             0.51543,             0.42614,              0.4569,             0.19081,            0.062337,            0.008912,           0.0049847,            0.010361,           0.0098141,           0.0098141
                   3,            0.062066,            0.021305,           0.0043761,             0.46759,             0.56123,             0.52417,             0.20688,             0.05045,           0.0090988,           0.0044673,            0.009802,            0.009802,            0.009802
                   4,             0.05639,            0.020644,           0.0040373,             0.61514,             0.56684,             0.59438,             0.30247,            0.046556,           0.0091623,           0.0030548,            0.009802,            0.009802,            0.009802
                   5,            0.053906,             0.01951,           0.0029296,             0.55254,             0.60754,             0.58452,             0.27969,            0.044429,           0.0096698,           0.0040229,            0.009736,            0.009736,            0.009736
                   6,             0.05098,            0.019354,           0.0031458,             0.62906,             0.54772,             0.59967,             0.32232,            0.043388,           0.0090446,           0.0022749,             0.00967,             0.00967,             0.00967
                   7,            0.049444,               0.019,           0.0028963,             0.73865,             0.63761,             0.69873,              0.3498,            0.040254,           0.0091265,           0.0014842,            0.009604,            0.009604,            0.009604
                   8,            0.048549,            0.019631,           0.0027218,             0.62209,             0.62397,             0.62538,             0.31131,            0.039878,           0.0094973,           0.0020592,            0.009538,            0.009538,            0.009538
                   9,            0.046762,            0.020148,           0.0025716,             0.57976,                0.64,             0.60404,             0.33108,            0.040775,           0.0097453,           0.0017138,            0.009472,            0.009472,            0.009472
                  10,            0.046846,            0.019204,           0.0024792,             0.67806,             0.63844,             0.67654,             0.33967,             0.04041,           0.0089051,            0.001445,            0.009406,            0.009406,            0.009406
                  11,            0.045282,            0.018905,           0.0025378,             0.60806,              0.6688,             0.66016,             0.35558,            0.040438,           0.0096338,           0.0022303,             0.00934,             0.00934,             0.00934
                  12,            0.044216,             0.01886,            0.001979,             0.60006,             0.67018,              0.6295,             0.30758,            0.041585,           0.0097565,           0.0023407,            0.009274,            0.009274,            0.009274
                  13,            0.044792,            0.019506,           0.0018367,             0.69277,             0.60754,              0.6464,             0.33868,            0.042552,           0.0093258,           0.0017399,            0.009208,            0.009208,            0.009208
                  14,            0.044926,            0.020014,           0.0021992,             0.68279,             0.62475,             0.65395,               0.381,            0.039705,           0.0090411,           0.0024591,            0.009142,            0.009142,            0.009142
                  15,             0.04347,            0.019557,           0.0015957,             0.68427,             0.64947,             0.69437,             0.38359,             0.03835,           0.0087264,          0.00095784,            0.009076,            0.009076,            0.009076
                  16,            0.042845,            0.018596,           0.0018316,             0.68283,             0.69329,             0.69347,             0.38414,            0.040045,           0.0086695,           0.0017889,             0.00901,             0.00901,             0.00901
                  17,            0.041673,            0.018323,            0.001909,              0.7008,             0.71649,             0.71208,             0.37837,            0.039645,           0.0089366,           0.0018841,            0.008944,            0.008944,            0.008944
                  18,            0.042366,            0.018386,           0.0019936,             0.69734,             0.64149,              0.7002,             0.39711,            0.037488,           0.0089469,            0.001899,            0.008878,            0.008878,            0.008878
                  19,             0.04127,            0.018323,           0.0016412,             0.70727,             0.64667,             0.69976,             0.39387,             0.03885,            0.009086,           0.0016264,            0.008812,            0.008812,            0.008812
                  20,            0.041173,             0.01743,           0.0013094,             0.66853,             0.67036,             0.68408,             0.38573,            0.039544,           0.0089993,           0.0024546,            0.008746,            0.008746,            0.008746
                  21,            0.040956,             0.01804,           0.0014914,             0.66447,             0.69596,             0.67788,             0.36751,            0.040885,           0.0090996,           0.0011376,             0.00868,             0.00868,             0.00868
                  22,             0.03951,            0.017874,           0.0015934,              0.6424,             0.75053,              0.6957,              0.3954,             0.03637,           0.0090729,           0.0019962,            0.008614,            0.008614,            0.008614
