               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095922,            0.024034,            0.023762,             0.79541,              0.2742,             0.30705,             0.12396,            0.064969,            0.012727,            0.009441,            0.070429,           0.0032857,           0.0032857
                   1,            0.068682,            0.023674,           0.0084047,             0.36186,             0.61058,             0.40235,             0.14163,             0.05627,           0.0097287,           0.0029128,            0.040396,           0.0065863,           0.0065863
                   2,            0.064324,            0.020048,           0.0051986,             0.49744,             0.62481,              0.5484,             0.23785,            0.054394,           0.0085116,           0.0024078,             0.01033,           0.0098539,           0.0098539
                   3,            0.059181,            0.019461,           0.0039221,             0.61246,             0.60731,             0.64513,             0.28848,            0.048299,           0.0084811,           0.0016161,           0.0098515,           0.0098515,           0.0098515
                   4,            0.053435,            0.019036,           0.0037968,             0.65353,             0.60385,             0.67617,              0.2782,            0.048899,           0.0081471,           0.0014564,           0.0098515,           0.0098515,           0.0098515
                   5,            0.050452,            0.018127,           0.0028782,             0.69981,                0.73,             0.76057,             0.35395,            0.042116,           0.0083757,           0.0011702,            0.009802,            0.009802,            0.009802
                   6,            0.049264,             0.01827,           0.0030227,             0.62132,             0.70046,             0.68419,               0.312,            0.045651,           0.0090061,           0.0013306,           0.0097525,           0.0097525,           0.0097525
                   7,            0.047004,            0.018166,           0.0024103,              0.7152,             0.77293,             0.78134,             0.39769,            0.040154,           0.0081024,           0.0025632,            0.009703,            0.009703,            0.009703
                   8,             0.04562,            0.018749,           0.0023636,             0.77889,               0.715,             0.80384,             0.43953,            0.039022,            0.007972,           0.0010368,           0.0096535,           0.0096535,           0.0096535
                   9,            0.044615,            0.017844,           0.0020732,             0.85442,              0.7326,             0.83571,             0.44608,            0.039306,           0.0080922,          0.00087635,            0.009604,            0.009604,            0.009604
                  10,            0.043797,            0.017494,           0.0019611,             0.78429,             0.73417,             0.80442,             0.39016,            0.039823,           0.0081208,          0.00094396,           0.0095545,           0.0095545,           0.0095545
                  11,            0.043685,            0.017144,           0.0014144,             0.81589,             0.72842,             0.79306,             0.40881,            0.038566,           0.0084372,           0.0018749,            0.009505,            0.009505,            0.009505
                  12,            0.042237,            0.017918,           0.0017135,             0.83515,             0.81529,             0.87227,             0.47498,            0.036722,           0.0078432,           0.0010379,           0.0094555,           0.0094555,           0.0094555
                  13,            0.041672,            0.017085,           0.0020275,             0.84922,             0.76298,             0.86746,              0.4968,            0.034495,            0.007635,             0.00175,            0.009406,            0.009406,            0.009406
                  14,            0.041695,            0.016549,            0.001716,              0.8768,             0.67465,             0.83586,             0.47305,            0.035715,           0.0079901,            0.001438,           0.0093565,           0.0093565,           0.0093565
                  15,            0.041205,            0.016723,           0.0016323,              0.8009,             0.79473,             0.83909,              0.4578,            0.036154,           0.0078057,          0.00078068,            0.009307,            0.009307,            0.009307
                  16,            0.040188,            0.017373,           0.0013558,             0.83875,             0.81104,             0.86991,             0.50739,            0.034894,           0.0073661,          0.00078098,           0.0092575,           0.0092575,           0.0092575
                  17,             0.03975,            0.016351,           0.0014839,             0.82662,             0.79562,               0.856,             0.49139,            0.034781,           0.0076517,          0.00054781,            0.009208,            0.009208,            0.009208
                  18,            0.039796,            0.016784,           0.0013343,             0.85557,              0.8122,             0.87209,             0.49368,            0.035029,           0.0075316,          0.00080629,           0.0091585,           0.0091585,           0.0091585
                  19,            0.038547,            0.017114,           0.0013166,             0.87228,             0.78991,              0.8685,              0.5201,            0.034331,           0.0073814,          0.00088108,            0.009109,            0.009109,            0.009109
                  20,             0.03792,            0.016455,            0.001464,               0.847,             0.81037,             0.87959,              0.5029,            0.035498,           0.0074734,          0.00083422,           0.0090595,           0.0090595,           0.0090595
                  21,            0.037822,            0.016178,           0.0010889,             0.83307,             0.83196,             0.87975,             0.50473,             0.03405,           0.0074413,          0.00060313,             0.00901,             0.00901,             0.00901
                  22,            0.037601,            0.016319,           0.0011388,             0.84715,             0.83288,             0.90223,             0.49046,            0.035067,           0.0075837,          0.00043853,           0.0089605,           0.0089605,           0.0089605
                  23,            0.037305,            0.016151,           0.0012771,             0.88694,             0.78076,              0.8935,             0.52506,            0.032845,           0.0073524,          0.00043151,            0.008911,            0.008911,            0.008911
                  24,            0.037462,             0.01593,           0.0014236,             0.83002,             0.80777,             0.89005,             0.53477,            0.033439,           0.0074649,          0.00059085,           0.0088615,           0.0088615,           0.0088615
                  25,            0.037066,            0.015883,           0.0011215,             0.83592,             0.81885,             0.86958,             0.50085,            0.035852,           0.0073339,           0.0010914,            0.008812,            0.008812,            0.008812
                  26,             0.03676,            0.015697,           0.0013332,             0.84395,             0.82744,             0.89496,             0.53578,            0.032884,           0.0072451,           0.0007965,           0.0087625,           0.0087625,           0.0087625
                  27,            0.036844,            0.015637,           0.0012977,              0.8482,             0.87218,             0.91103,              0.5342,            0.032616,           0.0071636,          0.00060025,            0.008713,            0.008713,            0.008713
                  28,            0.036247,            0.015959,           0.0011828,             0.89915,             0.83483,             0.90959,             0.51195,            0.033357,           0.0072895,          0.00057338,           0.0086635,           0.0086635,           0.0086635
                  29,            0.036682,             0.01568,           0.0012762,             0.84235,             0.84888,              0.9079,             0.53106,            0.033614,           0.0074928,          0.00056094,            0.008614,            0.008614,            0.008614
                  30,            0.036284,             0.01561,            0.001036,             0.86661,             0.84356,             0.89501,             0.53613,            0.033597,            0.007132,          0.00041121,           0.0085645,           0.0085645,           0.0085645
                  31,            0.035288,            0.015519,          0.00083093,             0.85671,             0.83342,             0.89293,             0.50343,            0.034457,           0.0073809,          0.00060471,            0.008515,            0.008515,            0.008515
                  32,            0.035417,            0.015639,          0.00091916,             0.84922,              0.8475,             0.89156,             0.50526,            0.033465,           0.0075391,          0.00046786,           0.0084655,           0.0084655,           0.0084655
                  33,              0.0353,             0.01556,          0.00086503,             0.85574,             0.84172,             0.90616,             0.53975,            0.032438,           0.0072716,          0.00075607,            0.008416,            0.008416,            0.008416
                  34,            0.034967,            0.015465,          0.00092348,             0.87011,             0.81624,             0.90278,              0.5519,            0.032274,           0.0071433,           0.0004488,           0.0083665,           0.0083665,           0.0083665
                  35,            0.034571,            0.015619,           0.0010255,             0.87582,             0.79962,             0.89673,             0.52607,            0.033283,           0.0072058,          0.00051138,            0.008317,            0.008317,            0.008317
                  36,            0.034702,            0.015247,          0.00099062,              0.8511,             0.80955,             0.88925,             0.51183,            0.033409,           0.0075606,          0.00059905,           0.0082675,           0.0082675,           0.0082675
                  37,            0.034097,            0.014898,          0.00084324,             0.86708,              0.8365,             0.89993,             0.55605,            0.032518,           0.0071885,          0.00081009,            0.008218,            0.008218,            0.008218
                  38,             0.03468,            0.014739,          0.00096063,             0.89184,             0.82623,             0.91052,             0.55234,            0.032289,           0.0071358,          0.00091678,           0.0081685,           0.0081685,           0.0081685
                  39,            0.033928,             0.01542,          0.00071964,             0.88638,             0.82381,             0.89069,              0.5508,            0.032031,           0.0070662,          0.00042123,            0.008119,            0.008119,            0.008119
                  40,            0.033234,            0.014752,          0.00091022,             0.85549,             0.82816,             0.87313,             0.53626,            0.032214,           0.0073929,          0.00037953,           0.0080695,           0.0080695,           0.0080695
                  41,            0.033648,            0.014742,          0.00098907,             0.84906,             0.84548,             0.88465,             0.54514,            0.032797,           0.0071116,           0.0005267,             0.00802,             0.00802,             0.00802
                  42,            0.033406,            0.014954,            0.000649,             0.83367,             0.83524,             0.90487,             0.54743,            0.032439,           0.0071634,          0.00032889,           0.0079705,           0.0079705,           0.0079705
                  43,            0.032361,            0.014547,          0.00065777,             0.90439,             0.81273,             0.90522,             0.55357,            0.031908,           0.0071843,          0.00057109,            0.007921,            0.007921,            0.007921
                  44,            0.032999,            0.014856,          0.00059958,              0.8892,             0.82198,              0.9076,             0.56648,            0.030557,           0.0070209,          0.00044095,           0.0078715,           0.0078715,           0.0078715
                  45,            0.032617,            0.014702,          0.00070106,             0.82004,             0.82912,             0.90335,             0.54861,            0.031784,           0.0070897,          0.00034587,            0.007822,            0.007822,            0.007822
                  46,            0.032299,            0.014444,          0.00067142,             0.90638,             0.84346,             0.91372,             0.55708,            0.031697,           0.0071063,          0.00042359,           0.0077725,           0.0077725,           0.0077725
                  47,            0.031459,            0.013751,          0.00086757,              0.8762,             0.81942,             0.90356,             0.56728,            0.031133,           0.0072407,          0.00050025,            0.007723,            0.007723,            0.007723
                  48,            0.031687,            0.014039,           0.0006083,             0.87482,             0.84808,             0.90575,             0.55111,            0.032531,            0.007113,          0.00047458,           0.0076735,           0.0076735,           0.0076735
                  49,            0.032044,            0.014315,          0.00068455,             0.84276,              0.8551,             0.91194,             0.57009,            0.030892,           0.0072051,          0.00036906,            0.007624,            0.007624,            0.007624
                  50,             0.03154,            0.013723,          0.00071256,             0.89711,             0.81467,             0.90861,             0.57216,            0.032092,           0.0071865,           0.0005946,           0.0075745,           0.0075745,           0.0075745
