               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09662,             0.02552,            0.030939,              0.8541,             0.29932,              0.3746,             0.16765,            0.066612,            0.013555,            0.010714,            0.070492,           0.0032787,           0.0032787
                   1,            0.072163,            0.025581,           0.0092201,             0.36958,             0.47228,             0.37628,             0.12671,            0.060868,            0.010993,           0.0033492,             0.04047,           0.0065902,           0.0065902
                   2,            0.067361,            0.021792,           0.0051845,             0.46143,             0.50614,             0.42515,             0.15433,            0.062331,           0.0093819,           0.0039458,            0.010426,           0.0098797,           0.0098797
                   3,            0.062019,            0.021361,           0.0046609,             0.46887,             0.56842,              0.5211,             0.23693,            0.051518,           0.0091113,           0.0036772,            0.009901,            0.009901,            0.009901
                   4,            0.056527,            0.020645,           0.0041379,             0.56321,             0.64807,             0.59987,             0.30367,            0.046158,           0.0092237,           0.0033784,            0.009901,            0.009901,            0.009901
                   5,             0.05366,            0.019375,            0.003107,             0.57457,             0.55341,             0.55132,             0.26188,            0.049803,           0.0095182,           0.0034898,            0.009868,            0.009868,            0.009868
                   6,            0.050857,            0.019487,           0.0030581,              0.6255,             0.63609,             0.61301,             0.31366,            0.043332,            0.009707,           0.0066562,            0.009835,            0.009835,            0.009835
                   7,            0.049643,            0.019281,           0.0031937,             0.69175,             0.58181,             0.62154,             0.31353,            0.044204,           0.0094885,           0.0038001,            0.009802,            0.009802,            0.009802
                   8,            0.048517,            0.020045,           0.0024857,             0.60249,             0.64667,             0.62878,             0.30504,            0.041599,           0.0092053,           0.0030268,            0.009769,            0.009769,            0.009769
                   9,            0.047314,            0.020285,           0.0028099,             0.58715,             0.69499,             0.61154,             0.31424,            0.040408,           0.0092614,            0.002492,            0.009736,            0.009736,            0.009736
                  10,            0.047371,             0.01933,           0.0024776,              0.6018,             0.62406,             0.63944,             0.34213,            0.040879,           0.0095545,           0.0019297,            0.009703,            0.009703,            0.009703
                  11,            0.045768,            0.019037,           0.0023965,             0.63432,             0.67158,             0.63642,             0.36265,            0.040205,           0.0094497,           0.0019287,             0.00967,             0.00967,             0.00967
                  12,             0.04489,            0.019075,           0.0020625,              0.6172,             0.71136,             0.68075,             0.37453,            0.038913,           0.0092598,           0.0020787,            0.009637,            0.009637,            0.009637
                  13,             0.04462,            0.019475,            0.001941,             0.68031,             0.61421,             0.65552,             0.31272,            0.041331,           0.0093029,           0.0023087,            0.009604,            0.009604,            0.009604
                  14,            0.045231,            0.019977,           0.0021328,             0.60284,             0.65632,             0.65054,             0.36834,            0.040226,           0.0090858,           0.0028218,            0.009571,            0.009571,            0.009571
                  15,            0.043867,            0.019627,           0.0018732,             0.65471,             0.64061,             0.66816,             0.36613,            0.038961,           0.0090322,           0.0014887,            0.009538,            0.009538,            0.009538
                  16,            0.042532,            0.018565,           0.0016794,             0.64881,             0.67596,             0.66485,             0.36789,            0.041855,           0.0091884,           0.0015643,            0.009505,            0.009505,            0.009505
                  17,            0.042001,            0.018157,           0.0017981,             0.61878,             0.70064,             0.66977,             0.37304,            0.038942,              0.0093,           0.0020071,            0.009472,            0.009472,            0.009472
                  18,            0.042427,             0.01823,           0.0018622,             0.68955,             0.66246,             0.68684,             0.38518,            0.037908,           0.0089748,           0.0011103,            0.009439,            0.009439,            0.009439
                  19,            0.042138,            0.018268,             0.00184,             0.64116,             0.69018,             0.68564,              0.3732,            0.039315,           0.0091291,           0.0014802,            0.009406,            0.009406,            0.009406
                  20,            0.041526,             0.01758,           0.0014807,             0.69512,              0.6638,             0.66798,             0.36326,            0.040832,           0.0089194,           0.0022456,            0.009373,            0.009373,            0.009373
                  21,            0.040331,            0.018039,           0.0014476,             0.58603,             0.70727,             0.64849,             0.33811,            0.041247,           0.0092748,           0.0023226,             0.00934,             0.00934,             0.00934
                  22,            0.039609,            0.017982,           0.0017186,             0.68759,             0.70827,             0.68192,             0.37552,            0.037438,           0.0093962,           0.0027791,            0.009307,            0.009307,            0.009307
                  23,             0.04078,            0.017997,           0.0011794,             0.79398,             0.60518,             0.71147,             0.38823,            0.037602,           0.0088187,           0.0015736,            0.009274,            0.009274,            0.009274
                  24,            0.040201,            0.017324,           0.0013512,               0.658,             0.72341,             0.70332,             0.39876,            0.037729,           0.0090806,            0.001314,            0.009241,            0.009241,            0.009241
                  25,            0.038634,            0.017594,           0.0014811,             0.74006,             0.66737,             0.68541,             0.39811,            0.037819,           0.0092165,           0.0012059,            0.009208,            0.009208,            0.009208
                  26,            0.038912,            0.016861,           0.0015395,             0.64215,             0.68298,             0.67841,             0.39556,            0.037976,           0.0091968,           0.0013831,            0.009175,            0.009175,            0.009175
                  27,            0.038663,            0.017475,           0.0015063,             0.65821,             0.73561,             0.68817,             0.39821,            0.038798,           0.0090327,           0.0017278,            0.009142,            0.009142,            0.009142
                  28,            0.038785,            0.017657,           0.0017776,              0.7107,             0.66982,             0.68659,             0.39159,            0.038797,           0.0093154,           0.0017339,            0.009109,            0.009109,            0.009109
                  29,            0.039276,            0.017573,             0.00182,             0.69929,             0.59649,             0.64632,             0.36218,            0.039804,            0.009316,            0.001541,            0.009076,            0.009076,            0.009076
                  30,             0.03831,            0.018215,           0.0015754,             0.70533,             0.58826,             0.63816,             0.35064,            0.040995,            0.009832,           0.0024861,            0.009043,            0.009043,            0.009043
                  31,            0.038574,            0.017566,           0.0014263,             0.68494,             0.66033,             0.68861,             0.38411,            0.037691,           0.0092286,           0.0012028,             0.00901,             0.00901,             0.00901
                  32,            0.037474,            0.016915,           0.0010149,             0.69106,             0.65455,             0.69412,             0.39447,            0.037256,           0.0094738,           0.0027018,            0.008977,            0.008977,            0.008977
                  33,            0.038336,            0.017146,           0.0012422,             0.65043,             0.68486,             0.69536,             0.41597,            0.036332,           0.0090064,           0.0010652,            0.008944,            0.008944,            0.008944
                  34,             0.03665,            0.016426,            0.001489,             0.69469,             0.68825,             0.70363,              0.3898,            0.038907,           0.0089246,           0.0010316,            0.008911,            0.008911,            0.008911
                  35,            0.037032,            0.016932,           0.0010779,             0.68866,             0.64519,             0.65979,             0.38678,            0.036546,           0.0094857,           0.0014776,            0.008878,            0.008878,            0.008878
                  36,            0.036554,            0.016523,           0.0011428,             0.67228,             0.68544,             0.70488,             0.39828,            0.037152,           0.0089887,          0.00099123,            0.008845,            0.008845,            0.008845
                  37,             0.03627,            0.016911,           0.0014262,             0.65063,             0.70789,             0.67008,             0.38083,            0.036967,           0.0091706,           0.0010052,            0.008812,            0.008812,            0.008812
                  38,            0.036436,            0.016624,           0.0012283,             0.69504,             0.73626,             0.70756,             0.40022,             0.03701,           0.0089932,           0.0020729,            0.008779,            0.008779,            0.008779
                  39,             0.03672,            0.016195,          0.00094184,             0.68748,             0.69123,             0.68967,             0.40068,            0.038078,           0.0091891,           0.0016297,            0.008746,            0.008746,            0.008746
                  40,            0.035067,            0.015875,           0.0011127,             0.70976,             0.62807,             0.68477,             0.40517,            0.037832,           0.0091472,           0.0015585,            0.008713,            0.008713,            0.008713
                  41,            0.036078,            0.016876,           0.0011481,              0.6478,             0.70211,             0.68681,             0.40726,            0.036625,           0.0091367,          0.00082823,             0.00868,             0.00868,             0.00868
                  42,            0.035524,            0.017104,          0.00093285,             0.64966,             0.68567,             0.64578,             0.35723,            0.037847,           0.0098416,           0.0018233,            0.008647,            0.008647,            0.008647
                  43,            0.035922,             0.01644,           0.0010187,             0.72761,             0.65386,             0.66237,             0.38978,            0.038449,           0.0094379,            0.001236,            0.008614,            0.008614,            0.008614
                  44,            0.034655,            0.015895,           0.0010952,             0.74204,             0.67018,             0.67614,             0.38126,            0.036807,           0.0093277,           0.0019293,            0.008581,            0.008581,            0.008581
                  45,            0.034623,            0.016001,          0.00068696,             0.67591,             0.65825,             0.67712,             0.38935,            0.036028,           0.0094079,           0.0018416,            0.008548,            0.008548,            0.008548
